Property Name,Country,Destination,Specific Area,Property Type,Bedrooms,Max Guests,Estimated ADR (USD),OTA Listings,Website URL,Website Quality,Instagram Handle,Google Rating,Owner/Host Name,Contact Method,Key Features,Score,Notes
Uluwatu Estate,Indonesia,Bali,Uluwatu / Nyang Nyang,Villa,8+1,18,5380+,Ultimate Bali,https://www.ultimatebali.com/bali-luxury-villas/uluwatu-estate/,Aggregator only,N/A,N/A,N/A,Ultimate Bali,"9BR, 21m clifftop pool, Nyang Nyang beach views, full staff incl chef, car with driver, $5380+/night",92,"Ultra-ultra-premium $5380+/night; 9BR; car with driver included; aggregator only; top-tier showcase"
Villa Caldera Megalohori,Greece,Santorini,Megalohori,Villa,5,10,1000-3000,O Luxury Villas,Listed on aggregator,Aggregator only,N/A,N/A,N/A,O Luxury Villas,"Helipad, executive chef, butler, Caldera/Aegean/volcano views",91,"Ultra-premium with helipad; aggregator only; no independent website; prime candidate"
Tirtha Bayu Estate,Indonesia,Bali,Seseh / Tanah Lot,Villa Estate,11 (6+5),22,1500-3000,IndoEasyHoliday,Listed on aggregator,Aggregator only,N/A,N/A,N/A,IndoEasyHoliday,"Two villas on one estate (6BR + 5BR), cliff-top + beachfront, wedding venue, rice fields, two pools",90,"Dual-villa estate; 22 guests; wedding venue; aggregator only; very high revenue potential"
Villa Mandalay,Indonesia,Bali,Seseh / Tanah Lot,Villa,7,14,1000-2000,Lohono Stays,Listed on aggregator,Aggregator only,N/A,N/A,N/A,Lohono Stays,"25m pool, sauna, pitch & putt golf, rice field + ocean views, 10min from Canggu, events up to 250 guests",89,"Massive villa; 25m pool + golf; event capacity 250; aggregator only; $1000-2000/night"
Villa Sol Y Mar,Indonesia,Bali,Uluwatu,Villa,5,10,1150+,Bali Premium Villa,https://balipremiumvilla.com/,Aggregator only,N/A,N/A,N/A,Bali Premium Villa platform,"Cliffside, 180° ocean views, 13m infinity pool, yoga room, sauna, white-glove service",88,"$1150+/night; cliffside; aggregator only; no independent website; ideal Nestino candidate"
Villa A-7 Akrotiri-Caldera,Greece,Santorini,Akrotiri,Villa,9,18,1500-4000,Blue Collection,Listed on Blue Collection,Aggregator only,N/A,N/A,N/A,Blue Collection,"9BR, 18 guests, infinity pool, vineyards, modern Cycladic style",88,"Huge capacity (18 guests); aggregator only; very high revenue potential; Santorini premium"
Villa Laemson,Thailand,Phuket,Kamala / Laemson Estate,Villa,6,12,2059-6861 EUR,Villanovo,Listed on aggregator,Aggregator only,N/A,N/A,N/A,Villanovo,"Exclusive Laemson Estate, ocean/sunset views, infinity pool, fully staffed",87,"Up to €6861/night; exclusive estate; aggregator only; prime Nestino candidate"
Villa Latitude,Indonesia,Bali,Uluwatu / Pandawa Beach,Villa,6,12,1130+,Villa-Bali.com aggregator,https://www.villa-bali.com/en-gb/villa/uluwatu/villa-latitude,Aggregator only,N/A,N/A,N/A,Villa-Bali.com,"Edge of Pandawa Beach, 36x6m infinity pool, 24h butler, private chef, complimentary breakfast + airport transfer",86,"Massive 36m pool on cliff edge; £1130+/night; aggregator only; no independent website"
Villa The Beji,Indonesia,Bali,Canggu,Villa,6,12,1175-1380,Asia Collective / Airbnb,N/A,Unknown,N/A,N/A,N/A,Booking platforms,"21m pool, tennis court, media room, 4000sqm estate",85,"Ultra-premium estate; $1175-1380/night; 4000sqm; verify independent website"
Kaba Kaba Estate,Indonesia,Bali,Tabanan,Villa Estate,8,16,800-1500,Villa Bureau,Listed on Villa Bureau,Aggregator only,N/A,N/A,N/A,Villa Bureau,"8BR on 3 acres, multiple pools, tennis, spa",85,"8BR on 3 acres; multiple pools; aggregator only; ideal for premium showcase"
